tm_id,saison,market_value_eur,last_updated,updated_at
7161,2022_2023,13000000,NULL,2022-06-09
7161,2022_2023,13000000,NULL,2022-11-09
7161,2023_2024,13000000,NULL,2023-06-22
7161,2023_2024,13000000,NULL,2023-12-14
7161,2024_2025,10000000,NULL,2024-05-29
7161,2024_2025,7000000,NULL,2024-10-09
7161,2024_2025,5000000,NULL,2024-12-20
7161,2025_2026,3000000,NULL,2025-03-27
7161,2025_2026,2000000,NULL,2025-06-05
7161,2025_2026,2000000,NULL,2025-12-19
8246,2022_2023,300000,NULL,2022-06-09
8246,2022_2023,300000,NULL,2022-11-09
8246,2023_2024,300000,NULL,2023-06-22
8246,2023_2024,300000,NULL,2023-12-14
8246,2024_2025,300000,NULL,2024-05-29
8246,2024_2025,200000,NULL,2024-12-19
10503,2022_2023,300000,NULL,2022-06-16
10503,2022_2023,300000,NULL,2022-11-30
12282,2022_2023,13500000,NULL,2022-01-05
12282,2022_2023,10000000,NULL,2022-03-17
12282,2022_2023,9000000,NULL,2022-06-08
12282,2022_2023,7000000,NULL,2022-09-14
12282,2022_2023,6000000,NULL,2022-11-11
17259,2022_2023,15000000,NULL,2022-06-09
17259,2022_2023,12000000,NULL,2022-11-09
17259,2023_2024,7000000,NULL,2023-03-29
17259,2023_2024,7000000,NULL,2023-06-22
17259,2023_2024,5000000,NULL,2023-10-18
17259,2023_2024,5000000,NULL,2023-12-14
17259,2024_2025,4000000,NULL,2024-05-29
17259,2024_2025,4000000,NULL,2024-12-20
17259,2025_2026,4000000,NULL,2025-06-05
17259,2025_2026,4000000,NULL,2025-12-19
19114,2022_2023,50000,NULL,2022-06-16
19114,2022_2023,50000,NULL,2022-11-09
19114,2023_2024,50000,NULL,2023-06-22
19114,2023_2024,50000,NULL,2023-12-15
19114,2024_2025,50000,NULL,2024-06-06
19114,2024_2025,50000,NULL,2024-12-19
19483,2022_2023,400000,NULL,2022-06-01
19483,2022_2023,400000,NULL,2022-11-30
19483,2023_2024,600000,NULL,2023-06-28
19483,2023_2024,600000,NULL,2023-12-15
21327,2025_2026,500000,NULL,2025-06-19
21327,2025_2026,500000,NULL,2025-12-19
28396,2025_2026,2000000,NULL,2025-03-20
28396,2025_2026,1600000,NULL,2025-06-18
28396,2025_2026,1500000,NULL,2025-12-23
31653,2022_2023,400000,NULL,2022-06-09
31653,2022_2023,400000,NULL,2022-11-09
31653,2023_2024,400000,NULL,2023-06-22
31653,2023_2024,300000,NULL,2023-12-14
31653,2024_2025,300000,NULL,2024-05-29
31653,2024_2025,300000,NULL,2024-12-20
31653,2025_2026,300000,NULL,2025-06-05
31653,2025_2026,300000,NULL,2025-12-19
32711,2022_2023,2300000,NULL,2022-06-09
32711,2022_2023,2000000,NULL,2022-11-09
