tm_id,dfl_id,club_name,shirt_number,full_name_tm,date_of_birth,position,saison
7161,NULL,"Borussia Mönchengladbach",23,JonasHofmann,NULL,"Mittelfeld - Offensives Mittelfeld",2022_2023
7161,NULL,"Bayer 04 Leverkusen",7,JonasHofmann,NULL,"Mittelfeld - Offensives Mittelfeld",2023_2024
7161,NULL,"Bayer 04 Leverkusen",7,JonasHofmann,NULL,"Mittelfeld - Offensives Mittelfeld",2024_2025
7161,NULL,"Bayer 04 Leverkusen",7,JonasHofmann,NULL,"Mittelfeld - Offensives Mittelfeld",2025_2026
8246,NULL,"TSG 1899 Hoffenheim",12,PhilippPentke,NULL,Torwart,2022_2023
8246,NULL,"1.FC Köln",20,PhilippPentke,NULL,Torwart,2023_2024
8246,NULL,"1.FC Köln",20,PhilippPentke,NULL,Torwart,2024_2025
10503,NULL,"SC Paderborn 07",2,UweHünemeier,NULL,"Abwehr - Innenverteidiger",2022_2023
12282,NULL,"FC Bayern München",23,DaleyBlind,NULL,"Abwehr - Innenverteidiger",2022_2023
17259,NULL,"FC Bayern München",1,ManuelNeuer,NULL,Torwart,2022_2023
17259,NULL,"FC Bayern München",1,ManuelNeuer,NULL,Torwart,2023_2024
17259,NULL,"FC Bayern München",1,ManuelNeuer,NULL,Torwart,2024_2025
17259,NULL,"FC Bayern München",NULL,ManuelNeuer,NULL,Torwart,2025_2026
19114,NULL,"FC Schalke 04",34,MichaelLanger,NULL,Torwart,2022_2023
19114,NULL,"FC Schalke 04",34,MichaelLanger,NULL,Torwart,2023_2024
19114,NULL,"FC Schalke 04",34,MichaelLanger,NULL,Torwart,2024_2025
19483,NULL,"SC Paderborn 07",15,TobiasMüller,NULL,"Abwehr - Innenverteidiger",2022_2023
19483,NULL,"SC Paderborn 07",15,TobiasMüller,NULL,"Abwehr - Innenverteidiger",2023_2024
21327,NULL,"1.FC Köln",20,Ron-RobertZieler,NULL,Torwart,2025_2026
28396,NULL,"FC Schalke 04",10,EdinDzeko,NULL,"Sturm - Mittelstürmer",2025_2026
31653,NULL,"Borussia Mönchengladbach",21,TobiasSippel,NULL,Torwart,2022_2023
31653,NULL,"Borussia Mönchengladbach",21,TobiasSippel,NULL,Torwart,2023_2024
31653,NULL,"Borussia Mönchengladbach",21,TobiasSippel,NULL,Torwart,2024_2025
31653,NULL,"Borussia Mönchengladbach",21,TobiasSippel,NULL,Torwart,2025_2026
32711,NULL,"Borussia Mönchengladbach",7,PatrickHerrmann,NULL,"Sturm - Rechtsaußen",2022_2023
32711,NULL,"Borussia Mönchengladbach",7,PatrickHerrmann,NULL,"Sturm - Rechtsaußen",2023_2024
34787,NULL,"FC Augsburg",14,JulianBaumgartlinger,NULL,"Mittelfeld - Defensives Mittelfeld",2022_2023
35207,NULL,"Borussia Dortmund",11,MarcoReus,NULL,"Mittelfeld - Offensives Mittelfeld",2022_2023
35207,NULL,"Borussia Dortmund",11,MarcoReus,NULL,"Mittelfeld - Offensives Mittelfeld",2023_2024
36182,NULL,"SC Paderborn 07",NULL,MaxKruse,NULL,"Sturm - Hängende Spitze",2023_2024
36284,NULL,"FC Schalke 04",9,SimonTerodde,NULL,"Sturm - Mittelstürmer",2022_2023
36284,NULL,"FC Schalke 04",9,SimonTerodde,NULL,"Sturm - Mittelstürmer",2023_2024
38410,NULL,"FC Augsburg",20,DanielCaligiuri,NULL,"Sturm - Rechtsaußen",2022_2023
39015,NULL,"FC Schalke 04",1,RalfFährmann,NULL,Torwart,2022_2023
39015,NULL,"FC Schalke 04",1,RalfFährmann,NULL,Torwart,2023_2024
39015,NULL,"FC Schalke 04",NULL,RalfFährmann,NULL,Torwart,2024_2025
39025,NULL,"FC Schalke 04",8,DannyLatza,NULL,"Mittelfeld - Defensives Mittelfeld",2022_2023
39025,NULL,"FC Schalke 04",8,DannyLatza,NULL,"Mittelfeld - Defensives Mittelfeld",2023_2024
39259,NULL,"Eintracht Frankfurt",20,MakotoHasebe,NULL,"Mittelfeld - Defensives Mittelfeld",2022_2023
39259,NULL,"Eintracht Frankfurt",20,MakotoHasebe,NULL,"Mittelfeld - Defensives Mittelfeld",2023_2024
39728,NULL,"Borussia Dortmund",15,MatsHummels,NULL,"Abwehr - Innenverteidiger",2022_2023
39728,NULL,"Borussia Dortmund",15,MatsHummels,NULL,"Abwehr - Innenverteidiger",2023_2024
39983,NULL,"1.FC Union Berlin",23,LeonardoBonucci,NULL,"Abwehr - Innenverteidiger",2023_2024
40034,NULL,"Eintracht Frankfurt",31,JensGrahl,NULL,Torwart,2022_2023
40034,NULL,"Eintracht Frankfurt",33,JensGrahl,NULL,Torwart,2023_2024
40034,NULL,"Eintracht Frankfurt",33,JensGrahl,NULL,Torwart,2024_2025
40034,NULL,"Eintracht Frankfurt",33,JensGrahl,NULL,Torwart,2025_2026
40680,NULL,"FC Bayern München",26,SvenUlreich,NULL,Torwart,2022_2023
40680,NULL,"FC Bayern München",26,SvenUlreich,NULL,Torwart,2023_2024
40680,NULL,"FC Bayern München",26,SvenUlreich,NULL,Torwart,2024_2025
40680,NULL,"FC Bayern München",NULL,SvenUlreich,NULL,Torwart,2025_2026
40792,NULL,"SC Paderborn 07",1,ManuelRiemann,NULL,Torwart,2024_2025
