tm_id,full_name_tm,date_of_birth,club_name,shirt_number,season,market_value_eur,last_updated
132098,"Harry Kane",1993-07-28,"FC Bayern München",9,2023/2024,60000000,2026-05-27
196357,"Jonathan Tah",1996-02-11,"FC Bayern München",4,2023/2024,28000000,2026-05-27
424204,"Alphonso Davies",2000-11-02,"FC Bayern München",19,2023/2024,40000000,2026-05-27
904974,"Noel Aseko",2005-11-22,"FC Bayern München",NULL,2023/2024,12000000,2026-06-01
475413,"Sacha Boey",2000-09-13,"FC Bayern München",23,2023/2024,10000000,2026-05-21
744728,"Arijon Ibrahimovic",2005-12-11,"FC Bayern München",NULL,2023/2024,10000000,2026-05-27
744729,"Tarek Buchmann",2005-02-28,"FC Bayern München",NULL,2023/2024,300000,2026-06-01
1118495,"David Santos Daiber",2007-01-10,"FC Bayern München",14,2023/2024,3000000,2026-05-27
161056,"Joshua Kimmich",1995-02-08,"FC Bayern München",6,2023/2024,35000000,2026-05-27
1009439,"Leon Klanac",2007-03-01,"FC Bayern München",1,2023/2024,150000,2026-06-17
713644,"Bryan Zaragoza",2001-09-09,"FC Bayern München",NULL,2023/2024,8000000,2026-05-29
892973,"Lovro Zvonarek",2005-05-08,"FC Bayern München",NULL,2023/2024,1800000,2026-06-02
257455,"João Palhinha",1995-07-09,"FC Bayern München",16,2023/2024,15000000,2026-06-03
822959,"Tom Bischof",2005-06-28,"FC Bayern München",20,2023/2024,40000000,2026-05-27
480692,"Luis Díaz",1997-01-13,"FC Bayern München",14,2023/2024,70000000,2026-05-27
503482,"Min-jae Kim",1996-11-15,"FC Bayern München",3,2023/2024,20000000,2026-05-27
792380,"Aleksandar Pavlovic",2004-05-03,"FC Bayern München",45,2023/2024,90000000,2026-05-27
195778,"Alexander Nübel",1996-09-30,"FC Bayern München",NULL,2023/2024,12000000,2026-05-27
566723,"Michael Olise",2001-12-12,"FC Bayern München",17,2023/2024,150000000,2026-05-27
569033,"Armindo Sieb",2003-02-17,"FC Bayern München",NULL,2023/2024,2500000,2026-05-27
1075147,"Lennart Karl",2008-02-22,"FC Bayern München",42,2023/2024,60000000,2026-05-27
223967,"Konrad Laimer",1997-05-27,"FC Bayern München",27,2023/2024,32000000,2026-05-27
580195,"Jamal Musiala",2003-02-26,"FC Bayern München",10,2023/2024,100000000,2026-05-27
