tm_id,dfl_id,club_name,shirt_number,full_name_tm,date_of_birth,position,saison,age
7161,NULL,"Borussia Mönchengladbach",23,JonasHofmann,1992-07-14,"Mittelfeld - Offensives Mittelfeld",2022_2023,34
7161,NULL,"Bayer 04 Leverkusen",7,JonasHofmann,1992-07-14,"Mittelfeld - Offensives Mittelfeld",2023_2024,34
7161,NULL,"Bayer 04 Leverkusen",7,JonasHofmann,1992-07-14,"Mittelfeld - Offensives Mittelfeld",2024_2025,34
7161,NULL,"Bayer 04 Leverkusen",7,JonasHofmann,1992-07-14,"Mittelfeld - Offensives Mittelfeld",2025_2026,34
8246,NULL,"TSG 1899 Hoffenheim",12,PhilippPentke,1985-05-01,Torwart,2022_2023,41
8246,NULL,"1.FC Köln",20,PhilippPentke,1985-05-01,Torwart,2023_2024,41
8246,NULL,"1.FC Köln",20,PhilippPentke,1985-05-01,Torwart,2024_2025,41
10503,NULL,"SC Paderborn 07",2,UweHünemeier,1986-01-09,"Abwehr - Innenverteidiger",2022_2023,40
12282,NULL,"FC Bayern München",23,DaleyBlind,1990-03-09,"Abwehr - Innenverteidiger",2022_2023,36
17259,NULL,"FC Bayern München",1,ManuelNeuer,1986-03-27,Torwart,2022_2023,40
17259,NULL,"FC Bayern München",1,ManuelNeuer,1986-03-27,Torwart,2023_2024,40
17259,NULL,"FC Bayern München",1,ManuelNeuer,1986-03-27,Torwart,2024_2025,40
17259,NULL,"FC Bayern München",NULL,ManuelNeuer,1986-03-27,Torwart,2025_2026,40
19114,NULL,"FC Schalke 04",34,MichaelLanger,1985-01-06,Torwart,2022_2023,41
19114,NULL,"FC Schalke 04",34,MichaelLanger,1985-01-06,Torwart,2023_2024,41
19114,NULL,"FC Schalke 04",34,MichaelLanger,1985-01-06,Torwart,2024_2025,41
19483,NULL,"SC Paderborn 07",15,TobiasMüller,1994-07-08,"Abwehr - Innenverteidiger",2022_2023,32
19483,NULL,"SC Paderborn 07",15,TobiasMüller,1994-07-08,"Abwehr - Innenverteidiger",2023_2024,32
21327,NULL,"1.FC Köln",20,Ron-RobertZieler,1989-02-12,Torwart,2025_2026,37
28396,NULL,"FC Schalke 04",10,EdinDzeko,1986-03-17,"Sturm - Mittelstürmer",2025_2026,40
31653,NULL,"Borussia Mönchengladbach",21,TobiasSippel,1988-03-22,Torwart,2022_2023,38
31653,NULL,"Borussia Mönchengladbach",21,TobiasSippel,1988-03-22,Torwart,2023_2024,38
31653,NULL,"Borussia Mönchengladbach",21,TobiasSippel,1988-03-22,Torwart,2024_2025,38
31653,NULL,"Borussia Mönchengladbach",21,TobiasSippel,1988-03-22,Torwart,2025_2026,38
32711,NULL,"Borussia Mönchengladbach",7,PatrickHerrmann,1991-02-12,"Sturm - Rechtsaußen",2022_2023,35
32711,NULL,"Borussia Mönchengladbach",7,PatrickHerrmann,1991-02-12,"Sturm - Rechtsaußen",2023_2024,35
